legacy_name,menu_found,menu_id,menu_path,match_method,behavior_tested
Cargo aft isolation valve downstream,True,M015,ATA 21 - Air Conditioning → Cargo vent → Cargo Aft Isolation Valve Downstream,normalized_exact_label_or_group_label,False
Cargo aft isolation valve upstream,True,M014,ATA 21 - Air Conditioning → Cargo vent → Cargo Aft Isolation Valve Upstream,normalized_exact_label_or_group_label,False
Cargo fwd isolation valve downstream,True,M013,ATA 21 - Air Conditioning → Cargo vent → Cargo Fwd Isolation Valve Downstream,normalized_exact_label_or_group_label,False
Cargo fwd isolation valve upstream,True,M012,ATA 21 - Air Conditioning → Cargo vent → Cargo Fwd Isolation Valve Upstream,normalized_exact_label_or_group_label,False
Crew oxygen pressure < 400,True,M335,ATA 35 - Oxygen → Crew oxygen 1 → Crew Oxygen Pressure < 400,normalized_exact_label_or_group_label,False
Crew oxygen pressure < 800,True,M336,ATA 35 - Oxygen → Crew oxygen 1 → Crew Oxygen Pressure < 800,normalized_exact_label_or_group_label,False
Crossbleed valve,True,M234,ATA 36 - Pneumatic → Pneumatic valve → Crossbleed Valve,normalized_exact_label_or_group_label,False
Crossfeed valve,True,M117,ATA 28 - Fuel → Fuel valves → Crossfeed Valve,normalized_exact_label_or_group_label,False
DMC 1,True,M324,ATA 31 - Indicating/Recording system → DMC → 1,normalized_exact_label_or_group_label,False
DMC 2,True,M325,ATA 31 - Indicating/Recording system → DMC → 2,normalized_exact_label_or_group_label,False
DMC 3,True,M326,ATA 31 - Indicating/Recording system → DMC → 3,normalized_exact_label_or_group_label,False
DU Capt ND,True,M330,ATA 31 - Indicating/Recording system → DU → Capt Nd,normalized_exact_label_or_group_label,False
DU Capt PFD,True,M329,ATA 31 - Indicating/Recording system → DU → Capt Pfd,normalized_exact_label_or_group_label,False
DU ECAM Lower,True,M334,ATA 31 - Indicating/Recording system → DU → Ecam Lower,normalized_exact_label_or_group_label,False
DU ECAM Upper,True,M333,ATA 31 - Indicating/Recording system → DU → Ecam Upper,normalized_exact_label_or_group_label,False
DU F/O ND,True,M331,ATA 31 - Indicating/Recording system → DU → F/o Nd,normalized_exact_label_or_group_label,False
DU F/O PFD,True,M332,ATA 31 - Indicating/Recording system → DU → F/o Pfd,normalized_exact_label_or_group_label,False
ECB,True,M243,ATA 49 - APU → ECB,normalized_exact_label_or_group_label,False
ECP,True,M318,ATA 31 - Indicating/Recording system → ECP,normalized_exact_label_or_group_label,False
ELAC 1,True,M285,ATA 27 - Flight controls → Nonresettable fault → Elac 1,reviewed_group_label_alias,False
ELAC 2,True,M286,ATA 27 - Flight controls → Nonresettable fault → Elac 2,reviewed_group_label_alias,False
ESS TR failure,True,M069,ATA 24 - Electrical power → TR Failure → Ess,reviewed_group_label_alias,False
Elec hyd pump blue failure,True,M143,ATA 29 - Hydraulic power → Elec pumps → Elec Hyd Pump Blue Failure,normalized_exact_label_or_group_label,False
Elec hyd pump yellow failure,True,M144,ATA 29 - Hydraulic power → Elec pumps → Elec Hyd Pump Yellow Failure,normalized_exact_label_or_group_label,False
Eng 1 EAI Valve,True,M250,ATA 30 - Ice and rain protection → EAI Valves → Eng 1 Eai Valve,normalized_exact_label_or_group_label,False
Eng 1 HP Valve,True,M224,ATA 36 - Pneumatic → Pneumatic valves → Eng 1 Hp Valve,normalized_exact_label_or_group_label,False
Eng 1 Loop A,True,M085,ATA 26 - Fire protection → Loop Eng 1 → Eng 1 Loop A,normalized_exact_label_or_group_label,False
Eng 1 Loop B,True,M086,ATA 26 - Fire protection → Loop Eng 1 → Eng 1 Loop B,normalized_exact_label_or_group_label,False
Eng 1 bleed valve,True,M227,ATA 36 - Pneumatic → Pneumatic valves → Eng 1 Bleed Valve,normalized_exact_label_or_group_label,False
Eng 1 low oil quantity,False,,,,False
Eng 1 no ignition,True,M315,ATA 80 - Start faults → No ignition → Eng 1,reviewed_group_label_alias,False
Eng 1 pump failure,True,M138,ATA 29 - Hydraulic power → Engine pumps → Eng 1 Pump Failure,normalized_exact_label_or_group_label,False
Eng 2 EAI Valve,True,M251,ATA 30 - Ice and rain protection → EAI Valves → Eng 2 Eai Valve,normalized_exact_label_or_group_label,False
Eng 2 HP Valve,True,M225,ATA 36 - Pneumatic → Pneumatic valves → Eng 2 Hp Valve,normalized_exact_label_or_group_label,False
Eng 2 Loop A,True,M087,ATA 26 - Fire protection → Loop Eng 2 → Eng 2 Loop A,normalized_exact_label_or_group_label,False
Eng 2 Loop B,True,M088,ATA 26 - Fire protection → Loop Eng 2 → Eng 2 Loop B,normalized_exact_label_or_group_label,False
Eng 2 bleed valve,True,M228,ATA 36 - Pneumatic → Pneumatic valves → Eng 2 Bleed Valve,normalized_exact_label_or_group_label,False
Eng 2 low oil quantity,False,,,,False
Eng 2 no ignition,True,M316,ATA 80 - Start faults → No ignition → Eng 2,reviewed_group_label_alias,False
Eng 2 pump failure,True,M139,ATA 29 - Hydraulic power → Engine pumps → Eng 2 Pump Failure,normalized_exact_label_or_group_label,False
FAC 1,True,M025,ATA 22 - AutoFlight → Nonresettable fault → Fac 1,reviewed_group_label_alias,False
FAC 2,True,M026,ATA 22 - AutoFlight → Nonresettable fault → Fac 2,reviewed_group_label_alias,False
FCDC 1,True,M303,ATA 27 - Flight controls → FCDC → 1,normalized_exact_label_or_group_label,False
FCDC 2,True,M304,ATA 27 - Flight controls → FCDC → 2,normalized_exact_label_or_group_label,False
FCU Channel 1,True,M038,ATA 22 - AutoFlight → FCU → Channel 1,normalized_exact_label_or_group_label,False
FCU Channel 2,True,M039,ATA 22 - AutoFlight → FCU → Channel 2,normalized_exact_label_or_group_label,False
FMGC 1,True,M202,ATA 34 - Navigation → FMGC → 1,normalized_exact_label_or_group_label,False
FMGC 2,True,M203,ATA 34 - Navigation → FMGC → 2,normalized_exact_label_or_group_label,False
FQI Chan 1,True,M095,ATA 28 - Fuel → FQI → Chan 1,normalized_exact_label_or_group_label,False
FQI Chan 2,True,M096,ATA 28 - Fuel → FQI → Chan 2,normalized_exact_label_or_group_label,False
FWC 1,True,M321,ATA 31 - Indicating/Recording system → FWC → 1,normalized_exact_label_or_group_label,False
